355	101
351	101
351	102
347	102
347	103
342	103
342	104
336	104
336	105
330	105
330	106
323	106
323	107
315	107
315	108
302	108
302	109
293	109
293	110
261	110
261	111
229	111
229	112
214	112
214	113
201	113
201	114
192	114
192	115
182	115
182	116
173	116
173	117
162	117
162	118
152	118
152	119
144	119
144	120
135	120
135	121
127	121
127	122
115	122
115	123
106	123
106	124
99	124
99	125
93	125
93	126
87	126
87	127
82	127
82	128
78	128
78	129
74	129
74	130
71	130
71	131
69	131
69	132
67	132
67	133
66	133
66	134
64	134
64	135
63	135
63	136
62	136
62	137
60	137
60	138
59	138
59	139
58	139
58	140
57	140
57	142
56	142
56	143
55	143
55	144
54	144
54	146
53	146
53	147
52	147
52	149
51	149
51	152
50	152
50	170
51	170
51	173
52	173
52	175
53	175
53	176
54	176
54	178
55	178
55	179
56	179
56	180
57	180
57	182
58	182
58	183
60	183
60	184
61	184
61	185
62	185
62	186
64	186
64	187
65	187
65	188
67	188
67	189
70	189
70	190
73	190
73	191
78	191
78	192
97	192
97	193
112	193
112	194
128	194
128	195
141	195
141	196
155	196
155	197
164	197
164	198
174	198
174	199
189	199
189	200
206	200
206	201
224	201
224	202
255	202
255	203
275	203
275	204
288	204
288	205
296	205
296	206
305	206
305	207
312	207
312	208
319	208
319	209
325	209
325	210
330	210
330	211
335	211
335	212
340	212
340	213
344	213
344	214
349	214
349	215
353	215
353	216
358	216
358	217
362	217
362	218
366	218
366	219
371	219
371	220
375	220
375	221
379	221
379	222
383	222
383	223
388	223
388	224
392	224
392	225
396	225
396	226
400	226
400	227
404	227
404	228
408	228
408	229
412	229
412	230
416	230
416	231
420	231
420	232
425	232
425	233
431	233
431	234
437	234
437	235
445	235
445	236
454	236
454	237
476	237
476	238
486	238
486	237
505	237
505	236
518	236
518	235
525	235
525	234
532	234
532	233
538	233
538	232
544	232
544	231
549	231
549	230
555	230
555	229
559	229
559	228
563	228
563	227
568	227
568	226
572	226
572	225
577	225
577	224
581	224
581	223
585	223
585	222
591	222
591	221
596	221
596	220
602	220
602	219
612	219
612	218
634	218
634	219
640	219
640	220
645	220
645	221
650	221
650	222
654	222
654	223
657	223
657	224
660	224
660	225
663	225
663	226
666	226
666	227
669	227
669	228
671	228
671	229
673	229
673	230
675	230
675	231
678	231
678	232
680	232
680	233
682	233
682	234
684	234
684	235
685	235
685	236
687	236
687	237
689	237
689	238
691	238
691	239
693	239
693	240
694	240
694	241
696	241
696	242
697	242
697	243
699	243
699	244
701	244
701	245
702	245
702	246
704	246
704	247
705	247
705	248
707	248
707	249
708	249
708	250
710	250
710	251
711	251
711	252
713	252
713	253
714	253
714	254
716	254
716	255
717	255
717	256
719	256
719	257
720	257
